"masa1k","masa1","masa2k","masa2","veli1","velf","Momentum Inicial (kg m/s)","Momentum Final (kg m/s)","dmomentum","Energía Cinética Inicial (J)","Energía Cinética Final (J)","Masa (kg)","pdenergia","Delta Energía (J)","dpe","dpe2","pdenergia2","pdenergia3","Discrepancia Predictiva","Discrepancia Predicha","pfinal"
0.51224,512.24,0.50962,509.62,1.84,0.79,0.9425216000000001,0.8072694,-0.13525220000000004,0.8671198720000001,0.31887141300000005,1.02186,0.5440618388,-0.5482484590000001,-1.0923102978,-1.06861090604,0.52036244704,-0.4324483091310356,-0.11580014986896447,-0.11371669403999998,-0.5461650031710356
0.51424,514.24,1.01227,1012.27,1.56,0.32,0.8022144000000001,0.4884832,-0.3137312000000001,0.6257272320000001,0.078157312,1.52651,0.5599304358000001,-0.5475699200000002,-1.1075003558000003,-1.1168147846400003,0.56924486464,-0.4149366234984639,-0.13263329650153627,-0.14692972914,-0.5618663526384639
1.00794,1007.94,1.01227,1012.27,1.35,0.53,1.3607190000000002,1.0707113000000001,-0.2900077000000001,0.9184853250000001,0.28373849450000005,2.02021,0.5956324818000001,-0.6347468305000001,-1.2303793123000002,-1.2518134519400002,0.61706662144,-0.46022697637262966,-0.17451985412737048,-0.17942210094,-0.6396490773126297
1.5042200000000001,1504.22,1.01227,1012.27,1.27,0.64,1.9103594000000002,1.6105536,-0.2998058000000001,1.213078219,0.515377152,2.51649,0.6729020042,-0.697701067,-1.3706030712000001,-1.3628393543600001,0.66513828736,-0.48796644880255036,-0.20973461819744965,-0.21208427286,-0.7000507216625503
1.5042200000000001,1504.22,1.51143,1511.43,1.12,0.39,1.6847264000000002,1.1761035,-0.5086229000000002,0.9434467840000003,0.22934018250000002,3.01565,0.7286709769999999,-0.7141066015000003,-1.4427775785000003,-1.4275955231000004,0.7134889216,-0.472851217064686,-0.24125538443531425,-0.2449359891,-0.7177872061646859
1.5042200000000001,1504.22,0.50962,509.62,1.37,0.92,2.0607814,1.8527328,-0.20804860000000014,1.4116352590000003,0.8522570880000001,2.01384,0.6006295672,-0.5593781710000002,-1.1600077382000002,-1.17582776876,0.61644959776,-0.3572267710898483,-0.2021513999101519,-0.17900286576000002,-0.5362296368498483
